publicationTitle,Authors,yearOfPublication,publicationVenue,publicationID
Database technologies for electronic commerce,"['Rakesh Agrawal', 'Ramakrishnan Srikant', 'Yirong Xu']",2002,VLDB,53909f6920f70186a0e3a9c2
Extending an ORDBMS: the statemachine module,"['Wolfgang Mahnke', 'Christian Mathis', 'Hans-Peter Steiert']",2002,VLDB,53909f6920f70186a0e3a9c8
Viator: a tool family for graphical networking and data view creation,"['Stephan Heymann', 'Katja Tham', 'Axel Kilian', 'Gunnar Wegner', 'Peter Rieger', 'Dieter Merkel', 'Johann Christoph Freytag']",2002,VLDB,53909f6920f70186a0e3a9c5
Champagne: data change propagation for heterogeneous information systems,"['Ralf Rantzau', 'Carmen Constantinescu', 'Uwe Heinkel', 'Holger Meinecke']",2002,VLDB,53909f6920f70186a0e3a9cd
A-TOPSS: a publish/subscribe system supporting approximate matching,"['Haifeng Liu', 'H.-Arno Jacobsen']",2002,VLDB,53909f6920f70186a0e3a9cf
BANKS: browsing and keyword searching in relational databases,"['B. Aditya', 'Gaurav Bhalotia', 'Soumen Chakrabarti', 'Arvind Hulgeri', 'Charuta Nakhe', 'Parag Parag', 'S. Sudarshan']",2002,VLDB,53909f6920f70186a0e3a9c9
Active XML: peer-to-peer data and web services integration,"['Serge Abitrboul', 'Omar Benjellourn', 'Ioana Manolescu', 'Tova Milo', 'Roger Weber']",2002,VLDB,53909f6920f70186a0e3a9ca
XMark: a benchmark for XML data management,"['Albrecht Schmidt', 'Florian Waas', 'Martin Kersten', 'Michael J. Carey', 'Ioana Manolescu', 'Ralph Busse']",2002,VLDB,53909f6920f70186a0e3a9b7
LegoDB: customizing relational storage for XML documents,"['Philip Bohannon', 'Juliana Freire', 'Jayant R. Haritsa', 'Prasan Roy', 'Jérôme Siméon']",2002,VLDB,53909f6920f70186a0e3a9cb
ALIAS: an active learning led interactive deduplication system,"['Sunita Sarawagi', 'Anuradha Bhamidipaty', 'Alok Kirpal', 'Chandra Mouli']",2002,VLDB,53909f6920f70186a0e3a9ce
enTrans: a system for flexible consistency maintenance in directory applications,"['Anandi Herlekar', 'Atul Deopujari', 'Krithi Ramamritham', 'Shyamsunder Gopale', 'Shridhar Shukla']",2002,VLDB,53909f6920f70186a0e3a9cc
Profiling and internet connectivity in automotive environments,"['M. Cilia', 'P. Hasselmeyer', 'A. P. Buchmann']",2002,VLDB,53909f6920f70186a0e3a9c6
GeMBASE: a geometric mediator for brain analysis with surface ensembles,"['Simone Santini', 'Amarnath Gupta']",2002,VLDB,53909f6920f70186a0e3a9c7
SELF-SERV: a platform for rapid composition of web services in a peer-to-peer environment,"['Quan Z. Sheng', 'Boualem Benatallah', 'Marlon Dumas', 'Eileen Oi-Yan Mak']",2002,VLDB,53909f6920f70186a0e3a9c1
COMA: a system for flexible combination of schema matching approaches,"['Hong-Hai Do', 'Erhard Rahm']",2002,VLDB,53909f6920f70186a0e3a996
The Rubicon of smart data,['Roger King'],2002,VLDB,53909f6920f70186a0e3a9ba
A new passenger support system for public transport using mobile database access,"['Koichi Goto', 'Yahiko Kambayashi']",2002,VLDB,53909f6920f70186a0e3a9b1
DTD-directed publishing with attribute translation grammars,"['Michael Benedikt', 'Chee Yong Chan', 'Wenfei Fan', 'Rajeev Rastogi', 'Shihui Zheng', 'Aoying Zhou']",2002,VLDB,53909f6920f70186a0e3a9a9
A multi-version cache replacement and prefetching policy for hybrid data delivery environments,"['André Seifert', 'Marc H. Scholl']",2002,VLDB,53909f6920f70186a0e3a9aa
A logical framework for scheduling workflows under resource allocation constraints,"['Pinar Senkul', 'Michael Kifer', 'Ismail H. Toroslu']",2002,VLDB,53909f6920f70186a0e3a99d
Reverse nearest neighbor aggregates over data streams,"['Flip Korn', 'S. Muthukrishnan', 'Divesh Srivastava']",2002,VLDB,53909f6920f70186a0e3a9a7
Quotient cube: how to summarize the semantics of a data cube,"['Laks V. S. Lakshmanan', 'Jian Pei', 'Jiawei Han']",2002,VLDB,53909f6920f70186a0e3a9a4
Tree pattern aggregation for scalable XML data dissemination,"['Chee-Yong Chan', 'Wenfei Fan', 'Pascal Felber', 'Minos Garofalakis', 'Rajeev Rastogi']",2002,VLDB,53909f6920f70186a0e3a9a8
Shooting stars in the sky: an online algorithm for skyline queries,"['Donald Kossmann', 'Frank Ramsak', 'Steffen Rost']",2002,VLDB,53909f6920f70186a0e3a97a
Maintaining coherency of dynamic data in cooperating repositories,"['Shetal Shah', 'Krithi Ramamritham', 'Prashant Shenoy']",2002,VLDB,53909f6920f70186a0e3a98f
How to summarize the universe: dynamic maintenance of quantiles,"['Anna C. Gilbert', 'Yannis Kotidis', 'S. Muthukrishnan', 'Martin J. Strauss']",2002,VLDB,53909f6920f70186a0e3a989
A bandwidth model for internet search,['Axel Uhl'],2002,VLDB,53909f6920f70186a0e3a990
Multi-dimensional regression analysis of time-series data streams,"['Yixin Chen', 'Guozhu Dong', 'Jiawei Han', 'Benjamin W. Wah', 'Jianyong Wang']",2002,VLDB,53909f6920f70186a0e3a97e
Efficient algorithms for processing XPath queries,"['Georg Gottlob', 'Christoph Koch', 'Reinhard Pichler']",2002,VLDB,53909f6920f70186a0e3a96b
A transducer-based XML query processor,"['Bertram Ludäscher', 'Pratik Mukhopadhyay', 'Yannis Papakonstantinou']",2002,VLDB,53909f6920f70186a0e3a976
RE-Tree: an efficient index structure for regular expressions,"['Chee-Yong Chan', 'Minos Garofalakis', 'Rajeev Rastogi']",2002,VLDB,53909f6920f70186a0e3a978
Self-tuning database technology and information services: from wishful thinking to viable engineering,"['Gerhard Weikum', 'Axel Moenkeberg', 'Christof Hasse', 'Peter Zabback']",2002,VLDB,53909f6920f70186a0e3a965
Incorporating XSL processing into database engines,['Guido Moerkotte'],2002,VLDB,53909f6920f70186a0e3a96c
REFEREE: an open framework for practical testing of recommender systems using ResearchIndex,"['Dan Cosley', 'Steve Lawrence', 'David M. Pennock']",2002,VLDB,53909f6920f70186a0e3a966
Parametric query optimization for linear and piecewise linear cost functions,"['Arvind Hulgeri', 'S. Sudarshan']",2002,VLDB,53909f6920f70186a0e3a971
Chip-secured data access: confidential data on untrusted servers,"['Luc Bouganim', 'Philippe Pucheral']",2002,VLDB,53909f6920f70186a0e3a96e
Proceedings of the 29th international conference on Very large data bases - Volume 29,"['Johann Christoph Freytag', 'Peter C. Lockemann', 'Serge Abiteboul', 'Michael J. Carey', 'Patricia G. Selinger', 'Andreas Heuer']",2003,VLDB,53909f8c20f70186a0e3fe21
The data-centric revolution in networking,['Scott Shenker'],2003,VLDB,53909f8c20f70186a0e3fe24
Complex queries over web repositories,"['Sriram Raghavan', 'Hector Garcia-Molina']",2003,VLDB,53909f8c20f70186a0e3fe26
A nanotechnology-based approach to data storage,"['E. Eleftheriou', 'P. Bächtold', 'G. Cherubini', 'A. Dholakia', 'C. Hagleitner', 'T. Loeliger', 'A. Pantazi', 'H. Pozidis', 'T. R. Albrecht', 'G. K. Binnig', 'M. Despont', 'U. Drechsler', 'U. Dürig', 'B. Gotsmann', 'D. Jubin', 'W. Häberle', 'M. A. Lantz', 'H. Rothuizen', 'R. Stutz', 'P. Vettiger', 'D. Wiesmann']",2003,VLDB,53909f8c20f70186a0e3fe22
Integrating information for on demand computing,['Nelson Mendonça Mattos'],2003,VLDB,53909f8c20f70186a0e3fe23
On the cost of multilingualism in database systems,"['A. Kumaran', 'Jayant R. Haritsa']",2003,VLDB,53909f8c20f70186a0e3fe2c
Distributed top-N query processing with possibly uncooperative local systems,"['Clement Yu', 'George Philip', 'Weiyi Meng']",2003,VLDB,53909f8c20f70186a0e3fe2d
On the minimization of Xpath queries,"['S. Flesca', 'F. Furfaro', 'E. Masciari']",2003,VLDB,53909f8c20f70186a0e3fe30
Efficient mining of XML query patterns for caching,"['Liang Huai Yang', 'Mong Li Lee', 'Wynne Hsu']",2003,VLDB,53909f8c20f70186a0e3fe29
Phrase Matching in XML,"['Sihem Amer-Yahia', 'Mary Fernández', 'Divesh Srivastava', 'Yu Xu']",2003,VLDB,53909f8c20f70186a0e3fe32
An efficient and resilient approach to filtering and disseminating streaming data,"['Shetal Shah', 'Shyamshankar Dharmarajan', 'Krithi Ramamritham']",2003,VLDB,53909f8c20f70186a0e3fe28
RRXS: redundancy reducing XML storage in relations,"['Yi Chen', 'Susan Davidson', 'Carmem Hara', 'Yifeng Zheng']",2003,VLDB,53909f8c20f70186a0e3fe33
A regression-based temporal pattern mining scheme for data streams,"['Wei-Guang Teng', 'Ming-Syan Chen', 'Philip S. Yu']",2003,VLDB,53909f8c20f70186a0e3fe2b
Efficient processing of expressive node-selecting queries on XML data in secondary storage: a tree automata-based approach,['Christoph Koch'],2003,VLDB,53909f8c20f70186a0e3fe38
Covering indexes for XML queries: bisimulation - simulation = negation,['Prakash Ramanan'],2003,VLDB,53909f8c20f70186a0e3fe31
Query processing for high-volume XML message brokering,"['Yanlei Diao', 'Michael Franklin']",2003,VLDB,53909f8c20f70186a0e3fe39
From tree patterns to generalized tree patterns: on efficient evaluation of XQuery,"['Zhimin Chen', 'H. V. Jagadish', 'Laks V. S. Lakshmanan', 'Stelios Paparizos']",2003,VLDB,53909f8c20f70186a0e3fe37
VIPAS: virtual link powered authority search in the web,"['Chi-Chun Lin', 'Ming-Syan Chen']",2003,VLDB,53909f8c20f70186a0e3fe43
Scheduling for shared window joins over data streams,"['Moustafa A. Hammad', 'Michael J. Franklin', 'Walid G. Aref', 'Ahmed K. Elmagarmid']",2003,VLDB,53909f8c20f70186a0e3fe3c
Maximizing the output rate of multi-way join queries over streaming information sources,"['Stratis D. Viglas', 'Jeffrey F. Naughton', 'Josef Burger']",2003,VLDB,53909f8c20f70186a0e3fe3b
Balancing performance and data freshness in web database servers,"['Alexandros Labrinidis', 'Nick Roussopoulos']",2003,VLDB,53909f8c20f70186a0e3fe44
Data bubbles for non-vector data: speeding-up hierarchical clustering in arbitrary metric spaces,"['Jianjun Zhou', 'Jörg Sander']",2003,VLDB,53909f8c20f70186a0e3fe49
A shrinking-based approach for multi-dimensional data analysis,"['Yong Shi', 'Yuqing Song', 'Aidong Zhang']",2003,VLDB,53909f8c20f70186a0e3fe48
COMBI-operator - database support for data mining applications,"['Alexander Hinneburg', 'Dirk Habich', 'Wolfgang Lehner']",2003,VLDB,53909f8c20f70186a0e3fe47
"Data morphing: an adaptive, cache-conscious storage technique","['Richard A. Hankins', 'Jignesh M. Patel']",2003,VLDB,53909f8c20f70186a0e3fe46
The history of histograms (abridged),['Yannis Ioannidis'],2003,VLDB,53909f8c20f70186a0e3fe25
Tuple routing strategies for distributed eddies,"['Feng Tian', 'David J. DeWitt']",2003,VLDB,53909f8c20f70186a0e3fe3f
Systematic development of data mining-based data quality tools,"['Dominik Luebbers', 'Udo Grimmer', 'Matthias Jarke']",2003,VLDB,53909f8c20f70186a0e3fe51
Load shedding in a data stream manager,"['Nesime Tatbul', 'Uğur Çetintemel', 'Stan Zdonik', 'Mitch Cherniack', 'Michael Stonebraker']",2003,VLDB,53909f8c20f70186a0e3fe3d
A framework for clustering evolving data streams,"['Charu C. Aggarwal', 'Jiawei Han', 'Jianyong Wang', 'Philip S. Yu']",2003,VLDB,53909f8c20f70186a0e3fe2a
Star-cubing: computing iceberg cubes by top-down and bottom-up integration,"['Dong Xin', 'Jiawei Han', 'Xiaolei Li', 'Benjamin W. Wah']",2003,VLDB,53909f8c20f70186a0e3fe4b
Finding hierarchical heavy hitters in data streams,"['Graham Cormode', 'Flip Korn', 'S. Muthukrishnan', 'Divesh Srivastava']",2003,VLDB,53909f8c20f70186a0e3fe4a
Querying the internet with PIER,"['Ryan Huebsch', 'Joseph M. Hellerstein', 'Nick Lanham', 'Boon Thau Loo', 'Scott Shenker', 'Ion Stoica']",2003,VLDB,53909f8c20f70186a0e3fe3e
"Adaptive, hands-off stream mining","['Spiros Papadimitriou', 'Anthony Brockwell', 'Christos Faloutsos']",2003,VLDB,53909f8c20f70186a0e3fe52
Continuous K-nearest neighbor queries for continuously moving points with updates,"['Glenn S. Iwerks', 'Hanan Samet', 'Ken Smith']",2003,VLDB,53909f8c20f70186a0e3fe4e
Composing mappings among data sources,"['Jayant Madhavan', 'Alon Y. Halevy']",2003,VLDB,53909f8c20f70186a0e3fe53
Processing sliding window multi-joins in continuous queries over data streams,"['Lukasz Golab', 'M Tamer Özsu']",2003,VLDB,53909f8c20f70186a0e3fe4d
Staircase join: teach a relational DBMS to watch its (axis) steps,"['Torsten Grust', 'Maurice van Keulen', 'Jens Teubner']",2003,VLDB,53909f8c20f70186a0e3fe4f
Holistic twig joins on indexed XML documents,"['Haifeng Jiang', 'Wei Wang', 'Hongjun Lu', 'Jeffrey Xu Yu']",2003,VLDB,53909f8c20f70186a0e3fe3a
Checks and balances: monitoring data quality problems in network traffic databases,"['Flip Korn', 'S. Muthukrishnan', 'Yunyue Zhu']",2003,VLDB,53909f8c20f70186a0e3fe50
Coarse-grained optimization: techniques for rewriting SQL statement sequences,"['Tobias Kraft', 'Holger Schwarz', 'Ralf Rantzau', 'Bernhard Mitschang']",2003,VLDB,53909f8c20f70186a0e3fe4c
Wise-integrator: an automatic integrator of web search interfaces for E-commerce,"['Hai He', 'Weiyi Meng', 'Clement Yu', 'Zonghuan Wu']",2003,VLDB,53909f8c20f70186a0e3fe41
Projecting XML documents,"['Amélie Marian', 'Jérôme Siméon']",2003,VLDB,53909f8c20f70186a0e3fe35
Buffering accesses to memory-resident index structures,"['Jingren Zhou', 'Kenneth A. Ross']",2003,VLDB,53909f8c20f70186a0e3fe45
SASH: a self-adaptive histogram set for dynamically changing workloads,"['Lipyeow Lim', 'Min Wang', 'Jeffrey Scott Vitter']",2003,VLDB,53909f8c20f70186a0e3fe42
XSEarch: a semantic search engine for XML,"['Sara Cohen', 'Jonathan Mamou', 'Yaron Kanza', 'Yehoshua Sagiv']",2003,VLDB,53909f8c20f70186a0e3fe27
MARS: a system for publishing XML from mixed and redundant storage,"['Alin Deutsch', 'Val Tannen']",2003,VLDB,53909f8c20f70186a0e3fe34
"AQuery: query language for ordered data, optimization techniques, and experiments","['Alberto Lerner', 'Dennis Shasha']",2003,VLDB,53909f8c20f70186a0e3fe40
Optimized query execution in large search engines with global page ordering,"['Xiaohui Long', 'Torsten Suel']",2003,VLDB,53909f8c20f70186a0e3fe2e
Mixed mode XML query processing,"['Alan Halverson', 'Josef Burger', 'Leonidas Galanis', 'Ameet Kini', 'Rajasekar Krishnamurthy', 'Ajith Nagaraja Rao', 'Feng Tian', 'Stratis D. Viglas', 'Yuan Wang', 'Jeffrey F. Naughton', 'David J. DeWitt']",2003,VLDB,53909f8c20f70186a0e3fe36
Path queries on compressed XML,"['Peter Buneman', 'Martin Grohe', 'Christoph Koch']",2003,VLDB,53909f8c20f70186a0e3fe2f
The generalized pre-grouping transformation: aggregate-query optimization in the presence of dependencies,"['Aris Tsois', 'Timos Sellis']",2003,VLDB,53909f8c20f70186a0e3fe59
Tabular placement of relational data on MEMS-based storage devices,"['Hailing Yu', 'Divyakant Agrawal', 'Amr El Abbadi']",2003,VLDB,53909f8c20f70186a0e3fe5c
Memory requirements for query execution in highly constrained devices,"['Nicolas Anciaux', 'Luc Bouganim', 'Philippe Pucheral']",2003,VLDB,53909f8c20f70186a0e3fe5d
Temporal slicing in the evaluation of XML queries,"['Dengfeng Gao', 'Richard T. Snodgrass']",2003,VLDB,53909f8c20f70186a0e3fe58
BHUNT: automatic discovery of Fuzzy algebraic constraints in relational data,"['Paul G. Brown', 'Peter J. Hass']",2003,VLDB,53909f8c20f70186a0e3fe5b
AniPQO: almost non-intrusive parametric query optimization for nonlinear cost functions,"['Arvind Hulgeri', 'S. Sudarshan']",2003,VLDB,53909f8c20f70186a0e3fe63
Mapping adaptation under evolving schemas,"['Yannis Velegrakis', 'Renée J. Miller', 'Lucian Popa']",2003,VLDB,53909f8c20f70186a0e3fe54
Efficient approximation of optimization queries under parametric aggregation constraints,"['Sudipto Guha', 'Dimitrios Gunopoulos', 'Nick Koudas', 'Divesh Srivastava', 'Michail Vlachos']",2003,VLDB,53909f8c20f70186a0e3fe64
Avoiding sorting and grouping in processing queries,"['Xiaoyu Wang', 'Mitch Cherniack']",2003,VLDB,53909f8c20f70186a0e3fe68
Robust estimation with sampling and approximate pre-aggregation,['Christopher Jermaine'],2003,VLDB,53909f8c20f70186a0e3fe6d
OASIS: an online and accurate technique for local-alignment searches on biological sequences,"['Colin Meek', 'Jignesh M. Patel', 'Shruti Kasetty']",2003,VLDB,53909f8c20f70186a0e3fe6f
Improving performance with bulk-inserts in Oracle R-trees,"['Ning An', 'Ravi Kanth', 'V. Kothuri', 'Siva Ravada']",2003,VLDB,53909f8c20f70186a0e3fe72
Data compression in Oracle,"['Meikel Poess', 'Dmitry Potapov']",2003,VLDB,53909f8c20f70186a0e3fe71
Statistics on views,"['César A. Galindo-Legaria', 'Milind M. Joshi', 'Florian Waas', 'Ming-Chuan Wu']",2003,VLDB,53909f8c20f70186a0e3fe73
Capturing global transactions from multiple recovery log files in a partitioned database system,"['Chengfei Liu', 'Bruce G. Lindsay', 'Serge Bourbonnais', 'Elizabeth B. Hamel', 'Tuong C. Truong', 'Jens Stankiewitz']",2003,VLDB,53909f8c20f70186a0e3fe76
Efficient query processing for multi-dimensionally clustered tables in DB2,"['Bishwaranjan Bhattacharjee', 'Sriram Padmanabhan', 'Timothy Malkemus', 'Tony Lai', 'Leslie Cranston', 'Matthew Huras']",2003,VLDB,53909f8c20f70186a0e3fe74
Who needs XML database?,['Sophie Cluet'],2003,VLDB,53909f8c20f70186a0e3fe7f
Privacy-preserving indexing of documents on the network,"['Mayank Bawa', 'Roberto J. Bayardo', 'Jr.', 'Rakesh Agrawal']",2003,VLDB,53909f8c20f70186a0e3fe70
A database striptease or how to manage your personal databases,"['Martin Kersten', 'Gerhard Weikum', 'Michael Franklin', 'Daniel Keim', 'Alex Buchmann', 'Surajit Chaudhuri']",2003,VLDB,53909f8c20f70186a0e3fe7e
Illuminating the dark side of web services,['Michael L. Brodie'],2003,VLDB,53909f8c20f70186a0e3fe80
Locating data sources in large distributed systems,"['Leonidas Galanis', 'Yuan Wang', 'Shawn R. Jeffery', 'David J. DeWitt']",2003,VLDB,53909f8c20f70186a0e3fe6c
OrientStore: a schema based native XML storage system,"['Xiaofeng Meng', 'Daofeng Luo', 'Mong Li Lee', 'Jing An']",2003,VLDB,53909f8c20f70186a0e3fe82
Supporting top-K join queries in relational databases,"['Ihab F. Ilyas', 'Walid G. Aref', 'Ahmed K. Elmagarmid']",2003,VLDB,53909f8c20f70186a0e3fe62
Chameleon: an extensible and customizable tool for web data translation,"['Riccardo Torlone', 'Paolo Atzeni']",2003,VLDB,53909f8c20f70186a0e3fe89
The BEA/XQRL streaming XQuery processor,"['Daniela Florescu', 'Chris Hillery', 'Donald Kossmann', 'Paul Lucas', 'Fabio Riccardi', 'Till Westmann', 'Michael J. Carey', 'Arvind Sundararajan', 'Geetika Agrawal']",2003,VLDB,53909f8c20f70186a0e3fe77
Xcerpt and visXcerpt: from pattern-based to visual querying of XML and semistructured data,"['Sacha Berger', 'François Bry', 'Sebastian Schaffert', 'Christoph Wieser']",2003,VLDB,53909f8c20f70186a0e3fe81
"NexusScout: an advanced location-based application on a distributed, open mediation platform","['Daniela Nicklas', 'Matthias Grossmann', 'Thomas Schwarz']",2003,VLDB,53909f8c20f70186a0e3fe8a
Schema-driven customization of web services,"['S. Abiteboul', 'B. Amann', 'J. Baumgarten', 'O. Benjelloun', 'F. Dang Ngoc', 'T. Milo']",2003,VLDB,53909f8c20f70186a0e3fe8b
Web service composition with O'GRAPE and OSIRIS,"['Roger Weber', 'Christoph Schuler', 'Patrick Neukomm', 'Heiko Schuldt', 'Hans-J. Schek']",2003,VLDB,53909f8c20f70186a0e3fe88
BibFinder/StatMiner: effectively mining and using coverage and overlap statistics in data integration,"['Zaiqing Nie', 'Subbarao Kambhampati', 'Thomas Hernandez']",2003,VLDB,53909f8c20f70186a0e3fe8c
A platform based on the multi-dimensional data modal for analysis of bio-molecular structures,"['Srinath Srinivasa', 'Sujit Kumar']",2003,VLDB,53909f8c20f70186a0e3fe75
Controlling access to published data using cryptography,"['Gerome Miklau', 'Dan Suciu']",2003,VLDB,53909f8c20f70186a0e3fe6e
An interpolated volume data model,"['Tianqiu Wang', 'Simone Santini', 'Amarnath Gupta']",2003,VLDB,53909f8c20f70186a0e3fe92
From focused crawling to expert information: an application framework for web exploration and portal generation,"['Sergej Sizov', 'Jens Graupmann', 'Martin Theobald']",2003,VLDB,53909f8c20f70186a0e3fe8e
Efficacious data cube exploration by semantic summarization and compression,"['Laks V. S. Lakshmanan', 'Jian Pei', 'Yan Zhao']",2003,VLDB,53909f8c20f70186a0e3fe93
Managing distributed workspaces with active XML,"['Serge Abiteboul', 'Jérôme Baumgarten', 'Angela Bonifati', 'Grégory Cobéna', 'Cosmin Cremarenco', 'Florin Dragan', 'Ioana Manolescu', 'Tova Milo', 'Nicoleta Preda']",2003,VLDB,53909f8c20f70186a0e3fe83
Business modeling using SQL spreadsheets,"['Andrew Witkowski', 'Srikanth Bellamkonda', 'Tolga Bozkaya', 'Nathan Folkert', 'Abhinav Gupta', 'Lei Sheng', 'Sankar Subramanian']",2003,VLDB,53909f8c20f70186a0e3fe91
"Large-scale, standards-based earth observation imagery and web mapping services",['Peter Baumann'],2003,VLDB,53909f8c20f70186a0e3fe97
IrisNet: an architecture for internet-scale sensing services,"['Suman Nath', 'Amol Deshpande', 'Yan Ke', 'Phillip B. Gibbons', 'Brad Karp', 'Srinivasan Seshan']",2003,VLDB,53909f8c20f70186a0e3fe96
"Constructing and integrating data-centric web applications: methods, tools, and techniques","['Stefano Ceri', 'Ioana Manolescu']",2003,VLDB,53909f8c20f70186a0e3fe9c
Privacy-enhanced data management for next-generation e-commerce,"['Chris Clifton', 'Irini Fundulaki', 'Richard Hull', 'Bharat Kumar', 'Daniel Lieuwen', 'Arnaud Sahuguet']",2003,VLDB,53909f8c20f70186a0e3fe98
CachePortal II: acceleration of very large scale data center-hosted database-driven web applications,"['Wen-Syan Li', 'Oliver Po', 'Wang-Pin Hsiung', 'K. Selçuk Candan', 'Divyakant Agrawal', 'Yusuf Akca', 'Kunihiro Taniguchi']",2003,VLDB,53909f8c20f70186a0e3fe8f
The TPR*-tree: an optimized spatio-temporal access method for predictive queries,"['Yufei Tao', 'Dimitris Papadias', 'Jimeng Sun']",2003,VLDB,53909f8c20f70186a0e3fe65
The ND-tree: a dynamic indexing technique for multidimensional non-ordered discrete data spaces,"['Gang Qian', 'Qiang Zhu', 'Qiang Xue', 'Sakti Pramanik']",2003,VLDB,53909f8c20f70186a0e3fe57
Query processing in spatial network databases,"['Dimitris Papadias', 'Jun Zhang', 'Nikos Mamoulis', 'Yufei Tao']",2003,VLDB,53909f8c20f70186a0e3fe66
A system for keyword proximity search on XML databases,"['Andrey Balmin', 'Vagelis Hristidis', 'Nick Koudas', 'Yannis Papakonstantinou', 'Divesh Srivastava', 'Tianqiu Wang']",2003,VLDB,53909f8c20f70186a0e3fe85
Supporting frequent updates in R-trees: a bottom-up approach,"['Mong Li Lee', 'Wynne Hsu', 'Christian S. Jensen', 'Bin Cui', 'Keng Lik Teo']",2003,VLDB,53909f8c20f70186a0e3fe56
XISS/R: XML indexing and storage system using RDBMS,"['Philip J. Harding', 'Quanzhong Li', 'Bongki Moon']",2003,VLDB,53909f8c20f70186a0e3fe86
Lachesis: robust database storage management based on device-specific performance characteristics,"['Jiri Schindler', 'Anastassia Ailamaki', 'Gregory R. Ganger']",2003,VLDB,53909f8c20f70186a0e3fe5e
Efficient IR-style keyword search over relational databases,"['Vagelis Hristidis', 'Luis Gravano', 'Yannis Papakonstantinou']",2003,VLDB,53909f8c20f70186a0e3fe6a
Chip-secured data access: reconciling access rights with data encryption,"['Luc Bouganim', 'François Dang Ngoc', 'Philippe Pucheral', 'Lilan Wu']",2003,VLDB,53909f8c20f70186a0e3fe95
Data stream query processing: a tutorial,"['Nick Koudas', 'Divesh Srivastava']",2003,VLDB,53909f8c20f70186a0e3fe9a
Grid data management systems & services,"['Arun Jagatheesan', 'Reagan Moore', 'Norman W. Paton', 'Paul Watson']",2003,VLDB,53909f8c20f70186a0e3fe9b
QUIET: continuous query-driven index tuning,"['Kai-Uwe Sattler', 'Ingolf Geist', 'Eike Schallehn']",2003,VLDB,53909f8c20f70186a0e3fe94
The semantic web: semantics for data on the web,"['Stefan Decker', 'Vipul Kashyap']",2003,VLDB,53909f8c20f70186a0e3fe99
ATLAS: a small but complete SQL extension for data mining and data streams,"['Haixun Wang', 'Carlo Zaniolo', 'Chang Richard Luo']",2003,VLDB,53909f8c20f70186a0e3fe90
Locking protocols for materialized aggregate join views,"['Gang Luo', 'Jeffrey F. Naughton', 'Curt J. Ellmann', 'Michael W. Watzke']",2003,VLDB,53909f8c20f70186a0e3fe55
S-ToPSS: semantic Toronto publish/subscribe system,"['Milenko Petrovic', 'Ioana Burcea', 'Hans-Arno Jacobsen']",2003,VLDB,53909f8c20f70186a0e3fe8d
Implementing XQuery 1.0: the Galax experience,"['Mary Fernández', 'Jérôme Siméon', 'Byron Choi', 'Amélie Marian', 'Gargi Sur']",2003,VLDB,53909f8c20f70186a0e3fe87
Operator scheduling in a data stream manager,"['Don Carney', 'Uğur Çetintemel', 'Alex Rasin', 'Stan Zdonik', 'Mitch Cherniack', 'Mike Stonebraker']",2003,VLDB,53909f8c20f70186a0e3fe69
XQueC: pushing queries to compressed XML data,"['Andrei Arion', 'Angela Bonifati', 'Gianni Costa', ""Sandra D'Aguanno"", 'Ioana Manolescu', 'Andrea Pugliese']",2003,VLDB,53909f8c20f70186a0e3fe84
A dependability benchmark for OLTP application environments,"['Marco Vieira', 'Henrique Madeira']",2003,VLDB,53909f8c20f70186a0e3fe61
The zero-delay data warehouse: mobilizing heterogeneous database,['Eva Kühn'],2003,VLDB,53909f8c20f70186a0e3fe7d
Merging models based on given correspondences,"['Rachel A. Pottinger', 'Philip A. Bernstein']",2003,VLDB,53909f8c20f70186a0e3fe6b
Integrated data management for mobile services in the real world,"['C. Hage', 'C. S. Jensen', 'T. B. Pedersen', 'L. Speicys', 'I. Timko']",2003,VLDB,53909f8c20f70186a0e3fe79
Cache tables: paving the way for an adaptive database cache,"['Mehmet Altinel', 'Christof Bornhövd', 'Sailesh Krishnamurthy', 'C. Mohan', 'Hamid Pirahesh', 'Berthold Reinwald']",2003,VLDB,53909f8c20f70186a0e3fe5f
Xml schemas in Oracle XML DB,"['Ravi Murthy', 'Sandeepan Banerjee']",2003,VLDB,53909f8c20f70186a0e3fe78
Web services (industrial session),['L. F. Cabrera'],2003,VLDB,53909f8c20f70186a0e3fe7a
Commercial use of database technology,['Harald Schöning'],2003,VLDB,53909f8c20f70186a0e3fe7c
Grid and applications (industrial session),['Frank Leymann'],2003,VLDB,53909f8c20f70186a0e3fe7b
Primitives for workload summarization and implications for SQL,"['Surajit Chaudhuri', 'Prasanna Ganesan', 'Vivek Narasayya']",2003,VLDB,53909f8c20f70186a0e3fe60
Multiscale histograms: summarizing topological relations in large spatial datasets,"['Xuemin Lin', 'Qing Liu', 'Yidong Yuan', 'Xiaofang Zhou']",2003,VLDB,53909f8c20f70186a0e3fe67
Estimating the output cardinality of partial preaggregation with a measure of clusteredness,"['Sven Helmer', 'Thomas Neumann', 'Guido Moerkotte']",2003,VLDB,53909f8c20f70186a0e3fe5a
Proceedings of the Thirtieth international conference on Very large data bases - Volume 30,"['Mario A. Nascimento', 'M. Tamer Özsu', 'Donald Kossmann', 'Renée J. Miller', 'José A. Blakeley', 'K. Bernhard Schiefer']",2004,VLDB,53909f8c20f70186a0e4018b
Databases in a wireless world,['David Yach'],2004,VLDB,53909f8c20f70186a0e4018c
